epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.141,1.70028,2.35013,1.78187,0.4267,0.33061,0.30531,0.15212,1.77297,2.58137,1.93147,0.068385,0.00166395,0.00166395
2,354.426,1.65768,2.10449,1.76338,0.57103,0.4862,0.4973,0.27062,1.55103,2.21168,1.74236,0.0367181,0.00333036,0.00333036
3,524.028,1.59143,1.92574,1.70529,0.63291,0.52033,0.56225,0.3192,1.44678,1.73835,1.64357,0.00505015,0.00499577,0.00499577
4,692.885,1.5077,1.73661,1.62976,0.68451,0.55158,0.6104,0.35895,1.42331,1.59662,1.63457,0.00499661,0.00499661,0.00499661
5,861.401,1.46614,1.63766,1.59945,0.69672,0.57529,0.63815,0.39089,1.34966,1.5029,1.57363,0.00499397,0.00499397,0.00499397
6,1029.66,1.42927,1.54947,1.57896,0.7097,0.62717,0.68743,0.42953,1.30143,1.31427,1.51486,0.00499058,0.00499058,0.00499058
7,1198.1,1.40174,1.47939,1.54264,0.74657,0.6525,0.72127,0.45955,1.25807,1.23057,1.48448,0.00498644,0.00498644,0.00498644
8,1366.45,1.37501,1.44408,1.53042,0.72967,0.63642,0.70716,0.44473,1.28681,1.28393,1.50579,0.00498155,0.00498155,0.00498155
9,1534.47,1.35341,1.39066,1.50831,0.78139,0.67286,0.75509,0.49147,1.22098,1.1344,1.44644,0.00497591,0.00497591,0.00497591
10,1702.8,1.33946,1.35342,1.49569,0.76952,0.68315,0.76158,0.50428,1.20229,1.12625,1.43923,0.00496953,0.00496953,0.00496953
11,1871.95,1.32051,1.31558,1.47983,0.77147,0.69387,0.77046,0.50969,1.19123,1.12156,1.4194,0.0049624,0.0049624,0.0049624
12,2040.06,1.31058,1.29203,1.47156,0.78773,0.69394,0.77042,0.51975,1.17609,1.04979,1.40594,0.00495453,0.00495453,0.00495453
13,2208.55,1.29785,1.25656,1.46198,0.79922,0.70185,0.78596,0.5269,1.16552,1.03736,1.40175,0.00494592,0.00494592,0.00494592
